iter	Passed	Remaining
0	1	156
1	2	144
2	4	136
3	5	126
4	6	127
5	8	130
6	9	131
7	11	129
8	12	127
9	13	125
10	15	124
11	16	122
12	18	120
13	19	119
14	20	117
15	22	118
16	23	116
17	25	114
18	26	112
19	27	111
20	29	109
21	30	108
22	31	106
23	33	105
24	34	103
25	35	102
26	37	102
27	39	102
28	41	101
29	43	101
30	45	100
31	46	98
32	47	97
33	49	95
34	50	93
35	51	92
36	53	90
37	54	88
38	55	87
39	57	85
40	58	84
41	58	81
42	60	79
43	61	78
44	62	76
45	64	75
46	65	74
47	66	72
48	68	71
49	69	69
50	70	68
51	72	66
52	73	65
53	74	63
54	75	61
55	77	60
56	78	59
57	79	57
58	81	56
59	82	54
60	83	53
61	85	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	45
67	93	43
68	94	42
69	95	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	110	25
81	112	24
82	113	23
83	114	21
84	115	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	132	2
98	134	1
99	135	0
