iter	Passed	Remaining
0	147	146984
1	150	75079
2	153	50982
3	155	38730
4	157	31342
5	159	26403
6	161	22884
7	163	20220
8	167	18432
9	169	16750
10	170	15369
11	174	14328
12	175	13361
13	177	12514
14	179	11795
15	181	11164
16	183	10592
17	185	10105
18	188	9756
19	190	9355
20	192	8981
21	194	8644
22	197	8387
23	199	8118
24	201	7849
25	202	7599
26	204	7374
27	207	7206
28	210	7059
29	212	6880
30	214	6705
31	216	6551
32	218	6403
33	220	6257
34	221	6116
35	223	5984
36	225	5859
37	226	5742
38	229	5662
39	232	5575
40	234	5476
41	235	5377
42	237	5283
43	239	5192
44	240	5107
45	242	5025
46	243	4946
47	245	4872
48	247	4802
49	249	4741
50	252	4695
51	254	4631
52	255	4569
53	257	4510
54	259	4450
55	260	4394
56	262	4341
57	263	4287
58	265	4236
59	267	4186
60	268	4137
61	270	4090
62	272	4048
63	274	4014
64	277	3992
65	279	3954
66	281	3916
67	283	3878
68	285	3845
69	287	3814
70	288	3777
71	290	3742
72	292	3708
73	293	3675
74	296	3651
75	298	3630
76	300	3605
77	302	3574
78	304	3545
79	305	3515
80	307	3486
81	308	3457
82	309	3421
83	311	3394
84	313	3369
85	314	3343
86	316	3322
87	319	3309
88	321	3291
89	323	3268
90	324	3245
91	326	3222
92	328	3200
93	329	3178
94	331	3157
95	333	3137
96	334	3116
97	336	3096
98	337	3075
99	342	3078
100	343	3060
101	345	3043
102	347	3024
103	348	3005
104	350	2986
105	352	2968
106	353	2952
107	355	2935
108	356	2917
109	358	2901
110	360	2884
111	367	2910
112	369	2902
113	372	2893
114	374	2885
115	391	2982
116	394	2976
117	396	2965
118	398	2953
119	401	2945
120	403	2934
121	410	2956
122	414	2953
123	417	2946
124	418	2931
125	420	2917
126	421	2900
127	430	2932
128	435	2940
129	438	2931
130	440	2920
131	442	2907
132	443	2893
133	445	2880
134	447	2868
135	449	2854
136	451	2844
137	454	2836
138	456	2826
139	458	2817
140	460	2806
141	461	2790
142	463	2778
143	465	2767
144	467	2756
145	469	2745
146	471	2733
147	476	2742
148	478	2732
149	480	2721
150	483	2721
151	487	2718
152	489	2707
153	490	2696
154	492	2686
155	494	2676
156	496	2667
157	499	2660
158	501	2654
159	504	2648
160	505	2635
161	507	2625
162	509	2615
163	511	2606
164	513	2599
165	515	2588
166	516	2578
167	519	2574
168	522	2571
169	525	2563
170	526	2554
171	528	2545
172	530	2537
173	533	2530
174	535	2522
175	536	2513
176	538	2503
177	539	2493
178	542	2489
179	545	2485
180	547	2478
181	549	2469
182	551	2460
183	552	2452
184	554	2444
185	556	2436
186	558	2428
187	560	2419
188	561	2410
189	564	2407
190	567	2402
191	569	2396
192	571	2388
193	573	2380
194	575	2374
195	577	2367
196	578	2359
197	580	2351
198	582	2342
199	583	2334
200	585	2327
201	588	2323
202	591	2320
203	592	2313
204	594	2305
205	596	2300
206	598	2293
207	600	2287
208	602	2279
209	603	2272
210	605	2264
211	607	2256
212	609	2251
213	611	2247
214	614	2244
215	616	2237
216	618	2231
217	620	2224
218	622	2219
219	624	2212
220	625	2205
221	627	2198
222	628	2191
223	630	2184
